iter	Accuracy	MultiClass
0	0.9229470766	0.6198779243
1	0.9237111204	0.5607081291
2	0.9256656509	0.5108852751
3	0.926598495	0.4687102928
4	0.9276201814	0.4327778309
5	0.9285530255	0.4024231437
6	0.9289172789	0.3750461628
7	0.92942368	0.351267944
8	0.9297435123	0.330758302
9	0.9301166499	0.3126952558
10	0.9307118933	0.2963301871
11	0.9312715998	0.2822532703
12	0.9314226317	0.2696862369
13	0.9319023801	0.2585958229
14	0.9320178751	0.2486615582
15	0.9321955597	0.2399917407
16	0.9324443181	0.2323645914
17	0.9326664238	0.2251990997
18	0.9331195195	0.2188523018
19	0.9332883199	0.2132575501
20	0.9333505095	0.2082757331
21	0.9336081522	0.2038345418
22	0.9336703418	0.1995825443
23	0.9338124894	0.1960281686
24	0.9340434794	0.1928588935
25	0.934221164	0.1900382932
26	0.9343277748	0.1872126
27	0.9345143436	0.1853125946
28	0.934647607	0.1826358504
29	0.9348519443	0.1802816548
30	0.9348963655	0.1781108038
31	0.9351007027	0.1761701689
32	0.9351628923	0.1747563357
33	0.9352161977	0.173173566
34	0.9354383035	0.1719009483
35	0.9354383035	0.1705331474
36	0.9354738404	0.1694196933
37	0.9354827246	0.1682564053
38	0.9355715669	0.1671666316
39	0.9357225988	0.1664924714
40	0.9358558623	0.1655186985
41	0.9358825149	0.1646590344
42	0.9359980099	0.1638393904
43	0.9360424311	0.1631123604
44	0.9362823053	0.1625753807
45	0.9364066845	0.1620619607
46	0.9364422214	0.1616553302
47	0.9366110218	0.1611139173
48	0.9366732114	0.1607247341
49	0.936735401	0.1603817526
50	0.9367442852	0.1601469778
51	0.9367798221	0.1597814506
52	0.9368242433	0.1592224437
53	0.9370374648	0.1588011694
54	0.9371884967	0.1583647537
55	0.9371884967	0.15798833
56	0.9372595705	0.1576258218
57	0.9373661813	0.1573406734
58	0.9373572971	0.1570881218
59	0.9373217601	0.1568703811
60	0.9374106024	0.1565764785
61	0.937472792	0.1562997793
62	0.9375438659	0.156150154
63	0.9375438659	0.1559909891
64	0.9375971713	0.1557828019
65	0.9376948978	0.1555408466
66	0.9377215505	0.1553896347
67	0.9378281612	0.1551634591
68	0.9378015085	0.1550364281
69	0.9379969616	0.1548979563
70	0.9380058458	0.154696889
71	0.9381035723	0.1545934687
72	0.9381391093	0.15447907
73	0.9381746462	0.1543542162
74	0.9381924146	0.1541837656
75	0.9382012989	0.1540120056
76	0.9381568777	0.1538522869
77	0.9381924146	0.1537486998
78	0.9382279516	0.1536642601
79	0.9382546043	0.1534885455
80	0.9382546043	0.1533849709
81	0.9383256781	0.1533006045
82	0.9383167939	0.1532493132
83	0.9383345623	0.1531731624
84	0.9383700992	0.1530214067
85	0.9384855942	0.1529637689
86	0.9385122469	0.1528736676
87	0.9384855942	0.1528242444
88	0.9384678258	0.1527477101
89	0.9385655523	0.1526613693
90	0.9385744365	0.1525407811
91	0.9386632788	0.1524410567
92	0.938672163	0.1523780215
93	0.9387432369	0.152309257
94	0.9387698896	0.1521962073
95	0.938787658	0.1521238642
96	0.9388498476	0.1520254966
97	0.9389209215	0.1518935322
98	0.9388320792	0.1518525782
99	0.9388853846	0.1517939533
100	0.9389564584	0.1517247023
101	0.9389209215	0.1516558773
102	0.9389386899	0.1515525523
103	0.9389742268	0.151487957
104	0.9390097638	0.1514121629
105	0.9391163745	0.1513499636
106	0.9391163745	0.1512852149
107	0.9391696799	0.1512230744
108	0.9391074903	0.1511818598
109	0.9391163745	0.1511245009
110	0.9391696799	0.1510556838
111	0.9392407537	0.1509844543
112	0.9393384803	0.1509036162
113	0.9393829014	0.1508376192
114	0.9393562487	0.1507952482
115	0.939329596	0.1507315768
116	0.9393829014	0.1506697645
117	0.9393740172	0.1506353365
118	0.939365133	0.1505912301
119	0.9393562487	0.1505443808
120	0.9394273226	0.1504934658
121	0.9394006699	0.1504782877
122	0.939445091	0.1504327882
123	0.9394983964	0.1503972723
124	0.9395250491	0.1503157958
125	0.9395428175	0.1502322316
126	0.9394983964	0.1502036665
127	0.9394983964	0.150122238
128	0.9395161649	0.1500696697
129	0.939560586	0.1499858797
130	0.9396050072	0.1499486893
131	0.9395783545	0.1499288159
132	0.9396050072	0.1498799608
133	0.9396138914	0.1498402631
134	0.9396138914	0.1498035102
135	0.9396316598	0.1497848148
136	0.9395872387	0.1497315185
137	0.9396227756	0.149693611
138	0.9396050072	0.1496427165
139	0.9396671968	0.1495973408
140	0.9396671968	0.1495113288
141	0.939676081	0.1494763677
142	0.9396671968	0.1494443567
143	0.9396849652	0.149370245
144	0.9396938494	0.1493258818
145	0.9396938494	0.1492896253
146	0.9397382706	0.1492533044
147	0.9397382706	0.1492252367
148	0.9397027337	0.1491824101
149	0.9397027337	0.149156132
150	0.9397205021	0.149107851
151	0.9397738075	0.1490556621
152	0.9397649233	0.1489888977
153	0.9398271129	0.1489163029
154	0.9398271129	0.148905097
155	0.9398448814	0.1488280974
156	0.9399159552	0.1487770518
