iter	Passed	Remaining
0	174	174482
1	193	96475
2	210	70107
3	226	56358
4	242	48195
5	260	43105
6	275	39083
7	290	36061
8	305	33637
9	320	31712
10	333	29974
11	347	28587
12	363	27611
13	378	26685
14	392	25761
15	407	25030
16	420	24308
17	435	23751
18	452	23360
19	469	22995
20	488	22758
21	502	22340
22	517	21970
23	532	21645
24	546	21318
25	560	20978
26	576	20778
27	591	20523
28	605	20278
29	621	20090
30	638	19967
31	653	19753
32	667	19566
33	683	19429
34	699	19286
35	715	19170
36	730	19022
37	746	18909
38	763	18821
39	780	18737
40	799	18698
41	816	18629
42	832	18522
43	853	18545
44	869	18446
45	887	18404
46	904	18343
47	921	18279
48	938	18209
49	953	18107
50	968	18029
51	983	17937
52	998	17834
53	1013	17749
54	1028	17674
55	1050	17707
56	1070	17705
57	1088	17683
58	1110	17716
59	1128	17685
60	1146	17647
61	1166	17648
62	1181	17571
63	1197	17511
64	1211	17429
65	1228	17381
66	1245	17343
67	1260	17280
68	1277	17238
69	1292	17172
70	1307	17109
71	1322	17043
72	1337	16981
73	1352	16920
74	1369	16889
75	1387	16865
76	1403	16822
77	1416	16744
78	1432	16700
79	1448	16662
80	1463	16600
81	1478	16547
82	1493	16497
83	1507	16440
84	1522	16384
85	1539	16366
86	1556	16335
87	1571	16282
88	1587	16249
89	1603	16208
90	1618	16164
91	1634	16127
92	1648	16076
93	1667	16068
94	1685	16052
95	1701	16022
96	1719	16003
97	1735	15975
98	1752	15945
99	1768	15912
100	1783	15878
101	1798	15836
102	1815	15813
103	1829	15763
104	1844	15724
105	1861	15703
106	1876	15663
107	1893	15637
108	1912	15629
109	1928	15599
110	1942	15554
111	1959	15539
112	1975	15507
113	1990	15471
114	2008	15455
115	2024	15424
116	2042	15413
117	2056	15370
118	2071	15336
119	2087	15306
120	2101	15269
121	2118	15243
122	2133	15208
123	2149	15186
124	2166	15166
125	2186	15169
126	2206	15167
127	2226	15166
128	2241	15135
129	2259	15124
130	2275	15095
131	2291	15071
132	2307	15041
133	2324	15024
134	2338	14984
135	2355	14964
136	2371	14939
137	2387	14915
138	2405	14900
139	2420	14867
140	2435	14840
141	2450	14807
142	2467	14785
143	2484	14768
144	2499	14738
145	2526	14778
146	2550	14798
147	2566	14777
148	2590	14793
149	2609	14785
150	2626	14767
151	2643	14749
152	2658	14714
153	2671	14674
154	2685	14641
155	2702	14620
156	2719	14603
